Category,Product_Name,Price_VAT
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 1 (макс. объем 1мкл, без направ) 1 шт в компл. СИ с поверкой",5040
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 1 (макс. объем 1мкл, без направ) 2 шт в компл. СИ с поверкой",9780
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 1Н (макс. объем 1мкл, с направ) 1 шт в компл. СИ с поверкой",6294
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 1Н (макс. объем 1мкл, с направ) 2 шт в компл. СИ с поверкой",12216
МИКРОШПРИЦ С ПОВЕРКОЙ,"М – 5 (макс. объем 5мкл, без направ) 1шт в компл. СИ, без поверки",5478
МИКРОШПРИЦ С ПОВЕРКОЙ,"М – 5Н (макс. объем 5 мкл, с направ) 1 шт в компл. СИ, без поверки",6636
МИКРОШПРИЦ С ПОВЕРКОЙ,"MШ – 10 (макс. объем 10мкл, без направ) 1шт в компл. СИ, без поверки",2820
МИКРОШПРИЦ С ПОВЕРКОЙ,"MШ – 10 (макс. объем 10мкл, без направ) 2шт в компл. СИ, без поверки",5220
МИКРОШПРИЦ С ПОВЕРКОЙ,"MШ – 10Н (макс. объем 10мкл, с направ) 1шт в компл. СИ, без поверки",3678
МИКРОШПРИЦ С ПОВЕРКОЙ,"MШ – 10Н (макс. объем 10мкл, с направ) 2шт в компл. СИ, без поверки",6876
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 10 (макс. объем 10мкл, без направ) 1шт в компл. СИ с поверкой",3570
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 10 (макс. объем 10мкл, без направ) 2шт в компл. СИ с поверкой",6720
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 10Н (макс. объем 10мкл, с направ) 1шт в компл. СИ с поверкой",4428
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 10Н (макс. объем 10мкл, с направ) 2шт в компл. СИ с поверкой",8376
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 25 (макс. объем 25мкл, без направ) 1шт в компл. СИ, без поверки",3060
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 25Н (макс. объем 25мкл, с направ) 1шт в компл. СИ, без поверки",3978
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 25 (макс. объем 25мкл, без направ) 1шт в компл. СИ с поверкой",3810
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 25Н (макс. объем 25мкл, с направ) 1шт в компл. СИ с поверкой",4728
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 50 (макс. объем 50мкл, без направ) 1шт в компл. СИ, без поверки",3240
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 50Н (макс. объем 50мкл, с направ) 1шт в компл. СИ, без поверки",4218
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 50 (макс. объем 50мкл, без направ) 1шт в компл. СИ с поверкой",3990
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 50Н (макс. объем 50мкл, с направ) 1шт в компл. СИ с поверкой",4968
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 100 (макс. объем 100мкл, без направ) 1шт в компл. СИ, без поверки",3360
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 100Н (макс. объем 100мкл, с направ) 1шт в компл. СИ, без поверки",4338
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 100 (макс. объем 100мкл, без направ) 1шт в компл. СИ с поверкой",4110
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 100Н (макс. объем 100мкл, с направ) 1шт в компл. СИ с поверкой",5088
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 250 (макс. объем 250мкл, без направ) 1шт в компл. СИ, без поверки",4020
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 250 (макс. объем 250мкл, без направ) 1шт в компл. СИ с поверкой",4770
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 500 (макс. объем 500мкл, без направ) 1шт в компл. СИ, без поверки",4500
МИКРОШПРИЦ С ПОВЕРКОЙ,"МШ – 500 (макс. объем 500мкл, без направ) 1шт в компл. СИ с поверкой",5250
