Article_No,Category,Product_Name,Material,Specifications,Application,Source_Page
5000-8000,Pumps,OTAL ® disposable pumps,"PE, PVC","sal plug.                                 Delivery tubes PE for OTAL® disposable pumps, 10 pieces Code N4",,9
5005-1200,Pumps,OTAL ® hand pumps | to fit most commercial storage drums,"AISI 304, PE, PP, PVC, PVDF, stainless steel",1       14              12          PP              70 Code N4,Acids/alkalis,11
5005-4000,Pumps,OTAL ® hand pumps | to fit most commercial storage drums,"AISI 304, PE, PP, PVC, PVDF, stainless steel",3   26                  18          AISI 304        90 Code N4,Acids/alkalis,11
5005-1500,Pumps,OTAL ® hand pumps | to fit most commercial storage drums,"AISI 304, PE, PP, PVC, PVDF, stainless steel",1       20              15          PP              70 Code N4,Acids/alkalis,11
5005-6000,Pumps,OTAL ® hand pumps | to fit most commercial storage drums,"AISI 304, PE, PP, PVC, PVDF, stainless steel",4   12                  12          PP/PVC          70 Code N4,Acids/alkalis,11
5005-1800,Pumps,OTAL ® hand pumps | to fit most commercial storage drums,"AISI 304, PE, PP, PVC, PVDF, stainless steel",1       26              18          PP              70 Code N4,Acids/alkalis,11
5005-1000,Pumps,OTAL ® hand pumps | to fit most commercial storage drums,"AISI 304, PE, PP, PVC, PVDF, stainless steel",5   4                   10          PP              45 Code N4,Acids/alkalis,11
5005-3000,Pumps,OTAL ® hand pumps | to fit most commercial storage drums,"AISI 304, PE, PP, PVC, PVDF, stainless steel",2       20              16          PVDF            70 Code N4,Acids/alkalis,11
5005-7000,Pumps,OTAL ® hand pumps | to fit most commercial storage drums,"AISI 304, PE, PP, PVC, PVDF, stainless steel",6   5                   12          PP/PVC          70 Code N4,Acids/alkalis,11
5000-4016,Pumps,"OTAL ® foot pumps | high performance, sturdy, for industrial use","AISI 304, PE, PP, PVC, PVDF, stainless steel",2   20                   16            PVDF             70 Code N4,Acids/alkalis,13
5000-5018,Pumps,"OTAL ® foot pumps | high performance, sturdy, for industrial use","AISI 304, PE, PP, PVC, PVDF, stainless steel",4  OTAL ® foot pump with hose and stopcock                                 3   26                   18            AISI 304         90 Code N4,Acids/alkalis,13
5000-3012,Pumps,"OTAL ® foot pumps | high performance, sturdy, for industrial use","AISI 304, PE, PP, PVC, PVDF, stainless steel",4   12                   12            PP/PVC           70 Code N4,Acids/alkalis,13
5005-7000,Pumps,"OTAL ® foot pumps | high performance, sturdy, for industrial use","AISI 304, PE, PP, PVC, PVDF, stainless steel",OTAL ® foot pump with hose and tap with delivery tubes made of PP          5   5                    12            PP/PVC           70 Code N4,Acids/alkalis,13
